food_name,calories,protein,fat,carbs
Ayam Goreng,391 kkal,32.9g,21.82g,16.15g
Ayam Pop,170 kkal,19g,9g,5g
Bakso,200 kkal,12g,9g,18g
Bubur Ayam,372 kkal,27.56g,12.39g,36.12g
Ikan,48 kkal,10.12g,0.52g,0g
Kentang Goreng,222 kkal,2.82g,11.39g,28.88g
Nasi Goreng,250 kkal,9.39g,9.28g,31.38g
Nasi Putih,135 kkal,2.79g,0.29g,29.3g
Rendang,468 kkal,47.23g,26.57g,10.78g
Salad Sayuran,12 kkal,0.63g,0.12g,2.77g
Sate,101 kkal,8.79g,6.67g,2.19g
Steik Daging,214 kkal,23.2g,12.76g,0g
Telur,92 kkal,6.27g,7.04g,0.4g
Tumis Kangkung,106 kkal,2.76g,9.4g,4.31g
